nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
CLINICA VETERINARIA SASAVI,Servicios veterinarios para mascotas prestados por el sector privado,2225984915,18.51809627,-98.60408555,541941,Chietla
CLINICA VETERINARIA SCHNAUZER,Servicios veterinarios para mascotas prestados por el sector privado,2481069938,19.27893481,-98.46268829,541941,San Martín Texmelucan
CLINICA VETERINARIA SIN NOMBRE,Servicios veterinarios para mascotas prestados por el sector privado,2223332612,19.07464778,-98.23777898,541941,Puebla
CLINICA VETERINARIA SIN NOMBRE,Servicios veterinarios para mascotas prestados por el sector privado,2221346742,19.04835469,-98.14546359,541941,Puebla
CLINICA VETERINARIA SIN PULGITAS,Servicios veterinarios para mascotas prestados por el sector privado,2211595162,19.07177091,-98.21404115,541941,Puebla
CLINICA VETERINARIA SISNA,Servicios veterinarios para mascotas prestados por el sector privado,2481040455,19.35572968,-98.53904621,541941,Tlahuapan
CLINICA VETERINARIA STEVEZ,Servicios veterinarios para mascotas prestados por el sector privado,2221854992,19.02442308,-98.20842279,541941,Puebla
CLINICA VETERINARIA VEDIBOKS,Servicios veterinarios para mascotas prestados por el sector privado,2221841173,18.9746494,-98.25889906,541941,Puebla
CLINICA VETERINARIA VETS & PETS,Servicios veterinarios para mascotas prestados por el sector privado,2223843214,19.08297148,-98.28209571,541941,San Pedro Cholula
CLINICA VETERINARIA VON CALO,Servicios veterinarios para mascotas prestados por el sector privado,2225942939,19.03986025,-98.21823188,541941,Puebla
CLINICA VETERINARIA WHIPPET,Servicios veterinarios para mascotas prestados por el sector privado,2222242022,19.08189736,-98.23103895,541941,Puebla
CLINICA VETERINARIA ZAHUESOS,Servicios veterinarios para mascotas prestados por el sector privado,2221504068,19.0963547,-98.27089483,541941,Cuautlancingo
CLINICA VETERINARIO ANIMAL LAND,Servicios veterinarios para mascotas prestados por el sector privado,2224810826,19.06372435,-98.25024448,541941,Puebla
CLINICA VETERINARIOA SAN FRANCISCO,Servicios veterinarios para mascotas prestados por el sector privado,2228160963,19.0616396,-98.30867971,541941,San Pedro Cholula
CLINICA VETERNINARIA CHIAN POILU,Servicios veterinarios para mascotas prestados por el sector privado,2223680171,19.0065193,-98.19751067,541941,Puebla
CLINICA Y ESTETICA CANINA,Servicios veterinarios para mascotas prestados por el sector privado,2225662730,19.06135472,-98.23451668,541941,Puebla
CLINICA Y ESTETICA VETERINARIA DOGMANIA,Servicios veterinarios para mascotas prestados por el sector privado,2311223149,19.80858565,-97.37382187,541941,Teziutlán
CLINICA ZAVALETA VET CENTER,Servicios veterinarios para mascotas prestados por el sector privado,2226600860,19.04736443,-98.25987759,541941,San Andrés Cholula
CLINICAN,Servicios veterinarios para mascotas prestados por el sector privado,5534497442,18.918595,-98.42104772,541941,Atlixco
DOGTOR CLINICA VETERINARIA,Servicios veterinarios para mascotas prestados por el sector privado,2212663852,19.058202,-98.2372828,541941,Puebla
ESTETICA CANINA Y CLINICA VETERINARIA BASENJI,Servicios veterinarios para mascotas prestados por el sector privado,2441091643,18.90745211,-98.43780644,541941,Atlixco
FARMACIA Y CLINICA VETERINARIA ALFA,Servicios veterinarios para mascotas prestados por el sector privado,2481502863,19.37958119,-98.53247928,541941,Tlahuapan
FARMACIA Y CLINICA VETERINARIA GONZALEZ,Servicios veterinarios para mascotas prestados por el sector privado,2441062200,18.90809524,-98.4516053,541941,Atlixco
GINMAR CLINICA Y SPA,Servicios veterinarios para mascotas prestados por el sector privado,2226829028,19.09079566,-98.28617545,541941,Cuautlancingo
HOSPITAL ANIMAL,Servicios veterinarios para mascotas prestados por el sector privado,2222409164,19.03831896,-98.22439755,541941,Puebla
HOSPITAL CENTRAL PARA MASCOTAS,Servicios veterinarios para mascotas prestados por el sector privado,2221993944,19.01408035,-98.20281118,541941,Puebla
