NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
VICENTE SUAREZ,JARDIN,ENTRE CALLE 2 Y CALLE 4,VICENTE SUAREZ,19.022534,-98.176841
SAN JORGE 2,AREA VERDE,"PARQUE DE CHAPULCO, ENTRE 12 A SUR Y 111 A ORIENTE",SAN JORGE,18.985824,-98.219766
SANTUARIO,PARQUE,CALLE SANTUARIO ENTRE MANUEL AVILA CAMACHO Y JOSE MARIA MORELOS,SAN SEBASTIAN DE APARICIO,19.103272,-98.160557
GALAXIA BOSQUES DE MAZANILLA,JARDIN,ENTRE CANAL DE MAYORAZGO Y PRIVADA LADRILLERA DE BENITEZ,GALAXIA BOSQUES DE MAZANILLA,19.076321,-98.139084
PEDREGAL GUADALUPE HIDALGO,PARQUE,ENTRE 8 SUR Y HERMANOS SERDAN,PEDREGAL GUADALUPE HIDALGO,18.972441,-98.233638
VILLAS EVEREST,PARQUE,ENTRE CALLE IGNACIO ALLENDE Y 2A DE JUAREZ,VILLAS EVEREST,19.017317,-98.223838
DE LA BALVANERA 1,JARDIN,"HACIENDA BALVANERA Y HACIENDA COCOYOC, ENTRE CIRCUITO JUAN PABLO II Y HACIENDA COVADONGA",LA HACIENDA,19.012439,-98.192366
DIAMANTE,AREA VERDE,CALLE DIAMANTE ENTRE CALLE VERGEL Y CAMINO PRINCIPAL A SAN APARICIO,VILLA DIAMANTE FRACCIONAMIENTO,19.088934,-98.176832
DE LAS DOS PIRAMIDES,PARQUE,CALLE DEMOCRATA ENTRE IDENTIDAD NACIONAL Y SOBERANIA NACIONAL,SOLIDARIDAD NACIONAL,19.096607,-98.17973
VILLAS DEL MARQUES 1,PARQUE,106 A PONIENTE ENTRE 5 C NORTE Y CAMINO A TLALTEPANGO,VILLAS DEL MARQUES,19.086834,-98.178623
VILLAS DEL MARQUES 2,CANCHA,ARQUIMEDES ENTRE PLATON Y 5 C NORTE,VILLAS DEL MARQUES,19.089688,-98.178651
SAN CRISTOBAL TULCINGO CALERAS,AREA VERDE,CALLE JOSEFA ORTIZ DE DOMINGUEZ ENTRE REFORMA Y PABLO JUAREZ RUIZ,SAN CRISTOBAL TULCINGO CALERAS,19.114646,-98.21644
BARRANCA HONDA 1,PARQUE,18 DE NOVIEMBRE ENTRE 11 DE ENERO Y 8 DE MARZO,BARRANCA HONDA,19.109086,-98.19989
BARRANCA HONDA 2,PARQUE,EMILIANO ZAPATA ENTRE FRANCISCO VILLA Y 11 DE ENERO,BARRANCA HONDA,19.110114,-98.198554
GUADALUPE EL CONDE,AREA VERDE,DIAGONAL GUADALUPE Y C. FCO. I. MADERO,GUADALUPE EL CONDE,19.096391,-98.182032
GUADALUPE CALERAS,AREA VERDE,PRIV. 2 B ORIENTE Y CDA. 4 ORIENTE,GUADALUPE CALERAS,19.101544,-98.224086
SAN JERONIMO CALERAS 3,PARQUE,ENTRE CAMINO REAL A TLAXCALA Y PRIVADA TOPOYA,SAN JERONIMO CALERAS,19.091242,-98.211275
GUADALUPE CALERAS,CAMPO DEPORTIVO,ENTRE 5 DE MAYO Y LAURELES,GUADALUPE CALERAS,19.109222,-98.223664
PARQUE VILLA GUADALUPE,PARQUE,CALLE HIPOCRATES ENTRE CARRETERA TLATEPANGO Y DESCARTES,VILLA DE GUADALUPE,19.089055,-98.17753
AMANALCO,PARQUE,ENTRE PRIMERA Y SEGUNDA CERRADA DE AMANALCO,AMANALCO,19.094166,-98.203796
MIRAVALLE,CANCHA DEPORTIVA,C. CORREGIDORA,MIRAVALLE,19.10519,-98.192956
SAN PABLO XOCHIMEHUACAN 4,CAMPO DE FUTBOL,PROLONGACION NIÑOS HEROES DE CHAPULTEPEC ENTRE 13 DE MARZO Y LAS HUERTAS,SAN PABLO XOCHIMEHUACAN,19.088113,-98.203525
LAS COLORADAS 1,JARDIN,"AV. AVES, ENTRE CDA. VIOLETA Y AV. VIOLETAS",LAS COLORADAS,19.014624,-98.210707
GABRIEL SANCHEZ GUERRERO,PARQUE,"VALENCIA Y SEVILLA, ENTRE SANTANDER Y COMPOSTELA",LAS PALMAS,19.023557,-98.209904
FOVISSSTE SAN ROQUE,AREA VERDE,C. PLUTON,FOVISSSTE SAN ROQUE,19.008752,-98.242321
SAN JUAN,AREA DEPORTIVA,"C. 45 NORTE, ENTRE AV. 112-C PONIENTE Y C. 45 NORTE",SAN JUAN,19.098942,-98.214313
PRADOS AGUA AZUL,PARQUE,"CIRCUITO JUAN PABLO II, ENTRE PRIV. 9 A SUR Y AV. 9 SUR",PRADOS AGUA AZUL,19.025629,-98.217866
BUENA VISTA,PARQUE DEPORTIVO,ENTRE CALZADA  ZAVALETA Y NUESTRA SEÑORA DE LOS ANGELES,SANTA CRUZ BUENA VISTA,19.055465,-98.249091
INDEPENDENCIA 3,PARQUE,ENTRE CALLE PRIVADA  C GUERRERO Y B GUERRERO,INDEPENDENCIA FRACCIONAMIENTO,19.074919,-98.25305
IGNACIO ROMERO VARGAS 3 (TALENTOS),PARQUE,CALLE SAN JOSE ENTRE CONSTITUCION Y PRIMERA DE MAYO,IGNACIO ROMERO VARGAS,19.075485,-98.246588
SANTA CRUZ GUADALUPE 1,AREA VERDE,ENTRE FORJADORES DE PUEBLA Y CALZADA ZAVALETA,SANTA CRUZ GUADALUPE,19.069615,-98.247447
CIUDAD SATELITE 3,PARQUE,AVENIDA EDUCADORES Y AVENIDA PINTORES,CIUDAD SATELITE,19.043801,-98.150871
CUAUHTEMOC 2,PARQUE,66 PONIENTE ENTRE BARRANQUILLA Y 5 NORTE,CUAUHTEMOC,19.069988,-98.186369
REVOLUCION MEXICANA 1,PARQUE,ENTRE 2 Y 4 NORTE,REVOLUCION MEXICANA,19.080315,-98.176008
NACIONES UNIDAS 6,PARQUE,ENTRE CALLES 74 ORIENTE Y UNESCO,NACIONES UNIDAS,19.071214,-98.181951
SAN ANTONIO 2,PARQUE,ENTRE AVENIDA 3 NORTE 24 PONIENTE Y 28 PONIENTE,BARRIO DE SAN ANTONIO,19.054732,-98.194348
AQUILES SERDAN 6,JARDIN PRIVADO,35 NORTE  ENTRE ANDEN W Y ANDEN 2,UNIDAD AQUILES SERDAN,19.070787,-98.212565
LAS POZAS,PARQUE,CALLE AGUACLARA ENTRE AGUA MARINA Y AGUA VERDE,LAS POZAS VILLA POSADAS,19.070861,-98.222347
AQUILES SERDAN 1,JARDIN,ENTRE ANDEN S  Y ANDEN CUARTO,UNIDAD AQUILES SERDAN,19.071663,-98.212849
VALLE DEL ANGEL 2,PARQUE,ENTRE BOULEVARD DEL VALLE Y NIEBLA,VALLE DEL ANGEL,19.07176,-98.216668
AQUILES SERDAN 4,PARQUE,ENTRE ANDEN U  Y ANDEN CUARTO,UNIDAD AQUILES SERDAN,19.071911,-98.213371
BOSQUES DE SAN SEBASTIAN 16,JARDIN VECINAL,CERRADA 2 E ENTRE RETORNO 5 E Y CERRADA 1E,BOSQUES DE SAN SEBASTIAN SECCION 1 INFONAVIT,19.062957,-98.128671
AQUILES SERDAN 5,PARQUE,LUIS YEPES ENTRE JOSEFINA VIUDA DE SERDAN Y ALEJANDRO ESPINOSA,UNIDAD AQUILES SERDAN,19.069871,-98.213797
AQUILES SERDAN 7,PARQUE,SAMUEL VAZQUEZ ENTRE ANDEN 1 Y JOSEFINA VIUDA DE SERDAN,UNIDAD AQUILES SERDAN,19.07052,-98.213878
REAL DEL MONTE 2,PLAZA AJARDINADA,CALLE COLUMNARIO ENTRE CALLES REALES Y YUNES,REAL DEL MONTE,19.06653,-98.222474
VALLE DEL ANGEL 1,PARQUE,AVENIDA EL ANGEL Y BOLUEVARD DEL ANGEL,VALLE DEL ANGEL,19.072866,-98.216332
AQUILES SERDAN 3,JARDIN VECINAL,ENTRE JOSEFINA VIUDA DE SERDAN Y LUIS YEPES,UNIDAD AQUILES SERDAN,19.069717,-98.214003
FRANCISCO VILLA,PARQUE DEPORTIVO,SOBRE AYUNTAMIENTO ENTRE 8 Y 6 ORIENTE,FRANCISCO VILLA,19.089559,-98.223736
AQUILES SERDAN 2,JARDIN VECINAL,ENTRE MAXIMO SERDAN Y 35 NORTE (CARMEN SERDAN),UNIDAD AQUILES SERDAN,19.069412,-98.214091
89 PONIENTE,AREA VERDE,HIDALGO C Y MATAMOROS,EL CARMEN GASTRONOMICO INFONAVIT,19.002108,-98.234143
OBREROS INDEPENDIENTES SUR 1,JARDIN,ENTRE PRIVADA BARI Y CALLE FLORENCIA,OBREROS INDEPENDIENTES SUR,19.101216,-98.240107
SAN FELIPE HUEYOTLIPAN,PARQUE VECINAL,BOULEVARD MARIA DEL CARMEN MILLAN Y BOULEVARD SAN FELIPE,RANCHO COLORADO,19.079362,-98.216454
JUEGO DE PELOTA,PARQUE,CALLE EMILIANO ZAPATA ENTRE CALLE CANDELARIA Y ADOLFO LOPEZ MATEOS,NOCHEBUENA,19.087091,-98.133574
ZAVALETA,JARDIN,LATERAL DE LA RECTA A CHOLULA KM 2.5,HACIENDA DE ZAVALETA,19.058699,-98.256296
RESIDENCIAL DEL VALLE,PARQUE DEPORTIVO,26 B PONIENTE ENTRE 26 B PONIENTE Y 26 B PONIENTE,RESIDENCIAL DEL VALLE,19.070795,-98.217696
SAN APARICIO 1,PARQUE,3 DE ENERO ENTRE SAN APARICIO NORTE Y SAN APARICIO SUR,SAN APARICIO,19.093025,-98.169116
SAN MIGUEL CANOA,CANCHA DE BASQUETBALL,ENTRE CARRETERA A SAN MIGUEL Y OCTAVA,SAN MIGUEL CANOA,19.154281,-98.099997
